target_table,target_column,target_full_name,source_table,source_column,source_full_name,final_score,similarity_method,decision,name_similarity,regex_score,entropy_score,cardinality_score,null_ratio_score,mapping_type,mapping_confidence,transformation_sql,rank
party,party_id,party.party_id,customer_master,customer_id,customer_master.customer_id,0.9650,llm,AUTO_ACCEPT,0.9000,1.0000,1.0000,1.0000,1.0000,direct,0.95,,1
party,party_id,party.party_id,customer_address,customer_id,customer_address.customer_id,0.9650,llm,AUTO_ACCEPT,0.9000,1.0000,1.0000,1.0000,1.0000,,,,2
party,party_id,party.party_id,identity_documents,customer_id,identity_documents.customer_id,0.9650,llm,AUTO_ACCEPT,0.9000,1.0000,1.0000,1.0000,1.0000,,,,3
party,party_id,party.party_id,service_subscription,customer_id,service_subscription.customer_id,0.9650,llm,AUTO_ACCEPT,0.9000,1.0000,1.0000,1.0000,1.0000,,,,4
party,party_id,party.party_id,billing_account,customer_id,billing_account.customer_id,0.9650,llm,AUTO_ACCEPT,0.9000,1.0000,1.0000,1.0000,1.0000,,,,5
party,full_name,party.full_name,customer_master,first_name,customer_master.first_name,0.8250,llm,HUMAN_REVIEW,0.5000,1.0000,1.0000,1.0000,1.0000,derived,0.95,"CONCAT(customer_master.first_name, ' ', customer_master.last_name)",1
party,full_name,party.full_name,customer_master,last_name,customer_master.last_name,0.8250,llm,HUMAN_REVIEW,0.5000,1.0000,1.0000,1.0000,1.0000,derived,0.95,"CONCAT(customer_master.first_name, ' ', customer_master.last_name)",2
party,full_name,party.full_name,customer_address,city,customer_address.city,0.6500,llm,REJECT,0.0000,1.0000,1.0000,1.0000,1.0000,,,,3
party,full_name,party.full_name,customer_address,state,customer_address.state,0.5942,llm,REJECT,0.0000,1.0000,0.8277,0.8000,1.0000,,,,4
party,full_name,party.full_name,customer_master,customer_id,customer_master.customer_id,0.4700,llm,REJECT,0.2000,0.0000,1.0000,1.0000,1.0000,,,,5
party,birth_date,party.birth_date,customer_master,date_of_birth,customer_master.date_of_birth,1.0000,llm,AUTO_ACCEPT,1.0000,1.0000,1.0000,1.0000,1.0000,direct,0.95,,1
party,birth_date,party.birth_date,customer_master,ssn,customer_master.ssn,0.6314,llm,REJECT,0.2000,1.0000,0.7925,0.7500,0.8000,,,,2
party,birth_date,party.birth_date,customer_master,customer_id,customer_master.customer_id,0.5792,llm,REJECT,0.0000,1.0000,0.8614,0.8000,0.8000,,,,3
party,birth_date,party.birth_date,customer_master,email_address,customer_master.email_address,0.4000,llm,REJECT,0.0000,0.0000,1.0000,1.0000,1.0000,,,,4
party,birth_date,party.birth_date,customer_master,first_name,customer_master.first_name,0.3292,llm,REJECT,0.0000,0.0000,0.8614,0.8000,0.8000,,,,5
party,party_type_cd,party.party_type_cd,customer_master,customer_type_cd,customer_master.customer_type_cd,0.8950,llm,HUMAN_REVIEW,0.7000,1.0000,1.0000,1.0000,1.0000,derived,0.85,"CASE WHEN customer_master.customer_type_cd = 'IND' THEN 'IND' WHEN customer_contact.contact_type_cd IN ('MOBILE', 'HOME', 'WORK') THEN 'IND' ELSE NULL END",1
party,party_type_cd,party.party_type_cd,billing_account,billing_cycle_cd,billing_account.billing_cycle_cd,0.7200,llm,REJECT,0.2000,1.0000,1.0000,1.0000,1.0000,derived,0.85,"CASE WHEN customer_master.customer_type_cd = 'IND' THEN 'IND' WHEN customer_contact.contact_type_cd IN ('MOBILE', 'HOME', 'WORK') THEN 'IND' ELSE NULL END",2
party,party_type_cd,party.party_type_cd,customer_contact,contact_type_cd,customer_contact.contact_type_cd,0.6100,llm,REJECT,0.6000,1.0000,0.0000,0.3333,1.0000,derived,0.85,"CASE WHEN customer_master.customer_type_cd = 'IND' THEN 'IND' WHEN customer_contact.contact_type_cd IN ('MOBILE', 'HOME', 'WORK') THEN 'IND' ELSE NULL END",3
party,party_type_cd,party.party_type_cd,billing_account,account_status_cd,billing_account.account_status_cd,0.5300,llm,REJECT,0.3000,1.0000,0.0000,0.5000,1.0000,,,,4
party,party_type_cd,party.party_type_cd,customer_address,address_type_cd,customer_address.address_type_cd,0.5050,llm,REJECT,0.3000,1.0000,0.0000,0.3333,1.0000,,,,5
party,gender_cd,party.gender_cd,gender_lookup,gender_code,gender_lookup.gender_code,0.7090,fuzzy,REJECT,0.9000,0.0000,0.9602,1.0000,1.0000,derived,0.85,CASE WHEN gender_lookup.gender_code IS NOT NULL THEN gender_lookup.gender_code ELSE customer_master.gender_code END,1
party,gender_cd,party.gender_cd,gender_lookup,gender_desc,gender_lookup.gender_desc,0.6740,llm,REJECT,0.8000,0.0000,0.9602,1.0000,1.0000,,,,2
party,gender_cd,party.gender_cd,customer_master,gender_code,customer_master.gender_code,0.5936,fuzzy,REJECT,0.9000,0.0000,0.6571,0.6667,0.8000,derived,0.85,CASE WHEN gender_lookup.gender_code IS NOT NULL THEN gender_lookup.gender_code ELSE customer_master.gender_code END,3
party,gender_cd,party.gender_cd,customer_master,ssn,customer_master.ssn,0.4240,llm,REJECT,0.2000,0.0000,0.9602,1.0000,0.6000,,,,4
party,gender_cd,party.gender_cd,customer_master,date_of_birth,customer_master.date_of_birth,0.3766,llm,REJECT,0.2000,0.0000,0.7610,0.7500,0.8000,,,,5
party,ssn,party.ssn,customer_master,ssn,customer_master.ssn,1.0000,fuzzy,AUTO_ACCEPT,1.0000,1.0000,1.0000,1.0000,1.0000,direct,0.95,,1
party,ssn,party.ssn,customer_master,date_of_birth,customer_master.date_of_birth,0.6314,llm,REJECT,0.2000,1.0000,0.7925,0.7500,0.8000,,,,2
party,ssn,party.ssn,customer_master,customer_id,customer_master.customer_id,0.6074,llm,REJECT,0.3000,1.0000,0.6826,0.6000,0.6000,,,,3
party,ssn,party.ssn,customer_master,email_address,customer_master.email_address,0.3464,llm,REJECT,0.1000,0.0000,0.7925,0.7500,0.8000,,,,4
party,ssn,party.ssn,customer_master,last_name,customer_master.last_name,0.2874,llm,REJECT,0.1000,0.0000,0.6826,0.6000,0.6000,,,,5
party,created_ts,party.created_ts,customer_master,created_ts,customer_master.created_ts,1.0000,fuzzy,AUTO_ACCEPT,1.0000,1.0000,1.0000,1.0000,1.0000,direct,0.95,,1
party,created_ts,party.created_ts,identity_documents,verified_ts,identity_documents.verified_ts,0.8550,llm,HUMAN_REVIEW,0.7000,1.0000,1.0000,1.0000,0.6000,,,,2
party,created_ts,party.created_ts,invoice_header,invoice_dt,invoice_header.invoice_dt,0.6450,llm,REJECT,0.7000,0.0000,1.0000,1.0000,1.0000,,,,3
party,created_ts,party.created_ts,customer_master,updated_ts,customer_master.updated_ts,0.5200,llm,REJECT,0.7000,0.5000,1.0000,0.0000,0.0000,,,,4
party,created_ts,party.created_ts,invoice_header,due_dt,invoice_header.due_dt,0.4700,llm,REJECT,0.2000,0.0000,1.0000,1.0000,1.0000,,,,5
party,email,party.email,customer_master,email_address,customer_master.email_address,0.9650,llm,AUTO_ACCEPT,0.9000,1.0000,1.0000,1.0000,1.0000,direct,0.95,,1
party,email,party.email,customer_contact,contact_value,customer_contact.contact_value,0.5209,llm,REJECT,0.5000,0.0000,0.8614,0.8000,0.9667,,,,2
party,email,party.email,customer_address,zip_code,customer_address.zip_code,0.4000,llm,REJECT,0.0000,0.0000,1.0000,1.0000,1.0000,,,,3
party,email,party.email,customer_master,customer_id,customer_master.customer_id,0.3992,llm,REJECT,0.2000,0.0000,0.8614,0.8000,0.8000,,,,4
party,email,party.email,customer_master,first_name,customer_master.first_name,0.3992,llm,REJECT,0.2000,0.0000,0.8614,0.8000,0.8000,,,,5
party_identifier,id_id,party_identifier.id_id,customer_master,customer_id,customer_master.customer_id,0.8250,llm,HUMAN_REVIEW,0.5000,1.0000,1.0000,1.0000,1.0000,direct,0.95,,1
party_identifier,id_id,party_identifier.id_id,customer_address,customer_id,customer_address.customer_id,0.8250,llm,HUMAN_REVIEW,0.5000,1.0000,1.0000,1.0000,1.0000,,,,2
party_identifier,id_id,party_identifier.id_id,identity_documents,customer_id,identity_documents.customer_id,0.8250,llm,HUMAN_REVIEW,0.5000,1.0000,1.0000,1.0000,1.0000,,,,3
party_identifier,id_id,party_identifier.id_id,service_subscription,customer_id,service_subscription.customer_id,0.8250,llm,HUMAN_REVIEW,0.5000,1.0000,1.0000,1.0000,1.0000,,,,4
party_identifier,id_id,party_identifier.id_id,billing_account,customer_id,billing_account.customer_id,0.8250,llm,HUMAN_REVIEW,0.5000,1.0000,1.0000,1.0000,1.0000,,,,5
party_identifier,party_id,party_identifier.party_id,customer_master,customer_id,customer_master.customer_id,0.9650,llm,AUTO_ACCEPT,0.9000,1.0000,1.0000,1.0000,1.0000,direct,0.95,,1
party_identifier,party_id,party_identifier.party_id,customer_address,customer_id,customer_address.customer_id,0.9650,llm,AUTO_ACCEPT,0.9000,1.0000,1.0000,1.0000,1.0000,,,,2
party_identifier,party_id,party_identifier.party_id,identity_documents,customer_id,identity_documents.customer_id,0.9650,llm,AUTO_ACCEPT,0.9000,1.0000,1.0000,1.0000,1.0000,,,,3
party_identifier,party_id,party_identifier.party_id,service_subscription,customer_id,service_subscription.customer_id,0.9650,llm,AUTO_ACCEPT,0.9000,1.0000,1.0000,1.0000,1.0000,,,,4
party_identifier,party_id,party_identifier.party_id,billing_account,customer_id,billing_account.customer_id,0.9650,llm,AUTO_ACCEPT,0.9000,1.0000,1.0000,1.0000,1.0000,,,,5
party_identifier,is_primary,party_identifier.is_primary,customer_address,is_primary,customer_address.is_primary,1.0000,fuzzy,AUTO_ACCEPT,1.0000,1.0000,1.0000,1.0000,1.0000,derived,0.85,CASE WHEN customer_address.is_primary = 'True' OR customer_contact.is_primary = 'True' THEN 'True' ELSE 'False' END,1
party_identifier,is_primary,party_identifier.is_primary,customer_contact,is_primary,customer_contact.is_primary,0.7750,fuzzy,HUMAN_REVIEW,1.0000,1.0000,0.0000,0.5000,1.0000,derived,0.85,CASE WHEN customer_address.is_primary = 'True' OR customer_contact.is_primary = 'True' THEN 'True' ELSE 'False' END,2
party_identifier,is_primary,party_identifier.is_primary,customer_master,customer_type_cd,customer_master.customer_type_cd,0.7200,llm,REJECT,0.2000,1.0000,1.0000,1.0000,1.0000,,,,3
party_identifier,is_primary,party_identifier.is_primary,customer_master,status_cd,customer_master.status_cd,0.4950,llm,REJECT,0.2000,1.0000,0.0000,0.5000,1.0000,,,,4
party_identifier,is_primary,party_identifier.is_primary,customer_master,customer_id,customer_master.customer_id,0.2000,llm,REJECT,0.2000,0.0000,0.0000,0.2000,1.0000,,,,5
party_identifier,id_value,party_identifier.id_value,customer_master,customer_id,customer_master.customer_id,0.8250,llm,HUMAN_REVIEW,0.5000,1.0000,1.0000,1.0000,1.0000,direct,0.95,,1
party_identifier,id_value,party_identifier.id_value,customer_address,customer_id,customer_address.customer_id,0.8250,llm,HUMAN_REVIEW,0.5000,1.0000,1.0000,1.0000,1.0000,,,,2
party_identifier,id_value,party_identifier.id_value,identity_documents,customer_id,identity_documents.customer_id,0.8250,llm,HUMAN_REVIEW,0.5000,1.0000,1.0000,1.0000,1.0000,,,,3
party_identifier,id_value,party_identifier.id_value,service_subscription,customer_id,service_subscription.customer_id,0.8250,llm,HUMAN_REVIEW,0.5000,1.0000,1.0000,1.0000,1.0000,,,,4
party_identifier,id_value,party_identifier.id_value,billing_account,customer_id,billing_account.customer_id,0.8250,llm,HUMAN_REVIEW,0.5000,1.0000,1.0000,1.0000,1.0000,,,,5
party_identifier,id_type_cd,party_identifier.id_type_cd,identity_documents,doc_type_cd,identity_documents.doc_type_cd,0.9500,fuzzy,AUTO_ACCEPT,0.8571,1.0000,1.0000,1.0000,1.0000,derived,0.85,"CASE WHEN identity_documents.doc_type_cd IN ('SSN', 'PASSPORT', 'DL') THEN identity_documents.doc_type_cd ELSE NULL END",1
party_identifier,id_type_cd,party_identifier.id_type_cd,customer_contact,contact_type_cd,customer_contact.contact_type_cd,0.8119,llm,HUMAN_REVIEW,0.5000,1.0000,0.9129,1.0000,1.0000,,,,2
party_identifier,id_type_cd,party_identifier.id_type_cd,customer_status_lookup,status_cd,customer_status_lookup.status_cd,0.7347,llm,REJECT,0.3000,1.0000,0.8650,1.0000,1.0000,,,,3
party_identifier,id_type_cd,party_identifier.id_type_cd,customer_master,gender_code,customer_master.gender_code,0.7144,llm,REJECT,0.5000,1.0000,0.7294,0.6667,0.8000,,,,4
party_identifier,id_type_cd,party_identifier.id_type_cd,billing_account,payment_method_cd,billing_account.payment_method_cd,0.7051,llm,REJECT,0.2000,1.0000,0.9008,1.0000,1.0000,,,,5
service_status_lookup,service_status_cd,service_status_lookup.service_status_cd,customer_status_lookup,status_cd,customer_status_lookup.status_cd,0.8614,llm,HUMAN_REVIEW,0.8000,1.0000,0.7925,0.7500,1.0000,derived,0.85,"CASE WHEN service_subscription.service_status_cd IN ('ACTIVE', 'SUSPENDED', 'CLOSED') THEN service_subscription.service_status_cd ELSE (CASE WHEN customer_status_lookup.status_cd IN ('ACTIVE', 'SUSPENDED', 'CLOSED') THEN customer_status_lookup.status_cd ELSE customer_master.status_cd END) END",1
service_status_lookup,service_status_cd,service_status_lookup.service_status_cd,service_subscription,service_status_cd,service_subscription.service_status_cd,0.8291,fuzzy,HUMAN_REVIEW,1.0000,1.0000,0.3609,0.5000,1.0000,derived,0.85,"CASE WHEN service_subscription.service_status_cd IN ('ACTIVE', 'SUSPENDED', 'CLOSED') THEN service_subscription.service_status_cd ELSE (CASE WHEN customer_status_lookup.status_cd IN ('ACTIVE', 'SUSPENDED', 'CLOSED') THEN customer_status_lookup.status_cd ELSE customer_master.status_cd END) END",2
