target_table,target_column,target_full_name,source_table,source_column,source_full_name,final_score,similarity_method,decision,name_similarity,regex_score,entropy_score,cardinality_score,null_ratio_score,mapping_type,mapping_confidence,transformation_sql
party,party_id,party.party_id,customer_master,customer_id,customer_master.customer_id,0.9650,llm,AUTO_ACCEPT,0.9000,1.0000,1.0000,1.0000,1.0000,direct,0.95,
party,full_name,party.full_name,customer_master,first_name,customer_master.first_name,0.8250,llm,HUMAN_REVIEW,0.5000,1.0000,1.0000,1.0000,1.0000,derived,0.95,"CONCAT(customer_master.first_name, ' ', customer_master.last_name)"
party,birth_date,party.birth_date,customer_master,date_of_birth,customer_master.date_of_birth,1.0000,llm,AUTO_ACCEPT,1.0000,1.0000,1.0000,1.0000,1.0000,direct,0.95,
party,party_type_cd,party.party_type_cd,customer_master,customer_type_cd,customer_master.customer_type_cd,0.8950,llm,HUMAN_REVIEW,0.7000,1.0000,1.0000,1.0000,1.0000,derived,0.85,"CASE WHEN customer_master.customer_type_cd = 'IND' THEN 'IND' WHEN customer_contact.contact_type_cd IN ('MOBILE', 'HOME', 'WORK') THEN 'IND' ELSE NULL END"
party,gender_cd,party.gender_cd,gender_lookup,gender_code,gender_lookup.gender_code,0.7090,fuzzy,REJECT,0.9000,0.0000,0.9602,1.0000,1.0000,derived,0.85,CASE WHEN gender_lookup.gender_code IS NOT NULL THEN gender_lookup.gender_code ELSE customer_master.gender_code END
party,ssn,party.ssn,customer_master,ssn,customer_master.ssn,1.0000,fuzzy,AUTO_ACCEPT,1.0000,1.0000,1.0000,1.0000,1.0000,direct,0.95,
party,created_ts,party.created_ts,customer_master,created_ts,customer_master.created_ts,1.0000,fuzzy,AUTO_ACCEPT,1.0000,1.0000,1.0000,1.0000,1.0000,direct,0.95,
party,email,party.email,customer_master,email_address,customer_master.email_address,0.9650,llm,AUTO_ACCEPT,0.9000,1.0000,1.0000,1.0000,1.0000,direct,0.95,
party_identifier,id_id,party_identifier.id_id,customer_master,customer_id,customer_master.customer_id,0.8250,llm,HUMAN_REVIEW,0.5000,1.0000,1.0000,1.0000,1.0000,direct,0.95,
party_identifier,party_id,party_identifier.party_id,customer_master,customer_id,customer_master.customer_id,0.9650,llm,AUTO_ACCEPT,0.9000,1.0000,1.0000,1.0000,1.0000,direct,0.95,
party_identifier,is_primary,party_identifier.is_primary,customer_address,is_primary,customer_address.is_primary,1.0000,fuzzy,AUTO_ACCEPT,1.0000,1.0000,1.0000,1.0000,1.0000,derived,0.85,CASE WHEN customer_address.is_primary = 'True' OR customer_contact.is_primary = 'True' THEN 'True' ELSE 'False' END
party_identifier,id_value,party_identifier.id_value,customer_master,customer_id,customer_master.customer_id,0.8250,llm,HUMAN_REVIEW,0.5000,1.0000,1.0000,1.0000,1.0000,direct,0.95,
